Got interface enp0s3
Got process 6744
processes: 6744
intfs: enp0s3
innet: 0
outnet: 0
Sec		Netw		enp0s3		CPU		6744
0		0/0		0/0		0		64
2		0/0		0/0		0		60
4		0/0		0/0		0		96
6		0/0		0/0		0		47
8		0/0		0/0		0		53
10		0/0		0/0		0		62
12		0/0		0/0		0		47
14		0/0		0/0		0		82
16		0/0		0/0		0		56
18		0/0		0/0		0		54
20		0/0		0/0		0		54
22		0/0		0/0		0		62
24		0/0		0/0		0		66
26		0/0		0/0		0		62
28		0/0		0/0		0		40
30		0/0		0/0		0		76
32		0/0		0/0		0		85
34		0/0		0/0		0		66
36		0/0		0/0		0		52
38		0/0		0/0		0		58
40		0/0		0/0		0		60
42		0/0		0/0		0		64
44		0/0		0/0		0		62
46		0/0		0/0		0		67
48		0/0		0/0		0		77
50		0/0		0/0		0		70
52		0/0		0/0		0		83
54		0/0		0/0		0		35
56		0/0		0/0		0		65
58		0/0		0/0		0		56
60		0/0		0/0		0		59
62		0/0		0/0		0		66
64		24/2		24/2		0		58
66		0/2		0/0		0		52
68		0/2		0/0		0		68
70		0/2		0/0		0		66
72		0/2		0/0		0		68
74		0/2		0/0		0		69
76		0/2		0/0		0		59
78		0/2		0/0		0		39
80		0/2		0/0		0		83
82		0/2		0/0		0		87
84		0/2		0/0		0		55
86		0/2		0/0		0		46
88		0/2		0/0		0		63
90		0/2		0/0		0		40
92		0/2		0/0		0		62
94		0/2		0/0		0		68
96		0/2		0/0		0		56
98		0/2		0/0		0		56
100		0/2		0/0		0		66
102		0/2		0/0		0		69
104		0/2		0/0		0		58
106		0/2		0/0		0		65
108		0/2		0/0		0		55
110		0/2		0/0		0		61
112		0/2		0/0		0		52
114		0/2		0/0		0		69
116		0/2		0/0		0		61
118		0/2		0/0		0		70
120		0/2		0/0		0		92
122		0/2		0/0		0		63
124		0/2		0/0		0		75
126		0/2		0/0		0		71
128		0/2		0/0		0		68
130		0/2		0/0		0		66
132		0/2		0/0		0		94
134		0/2		0/0		0		56
136		0/2		0/0		0		90
138		0/2		0/0		0		78
140		0/2		0/0		0		64
142		0/2		0/0		0		67
