Got process 2425
Got interface enp0s3
processes: 2425
intfs: enp0s3
innet: 0
outnet: 0
Sec		Netw		enp0s3		CPU		2425
0		0/0		0/0		0		25
2		0/0		0/0		0		25
4		0/0		0/0		0		23
6		0/0		0/0		0		26
8		0/0		0/0		0		25
10		0/0		0/0		0		25
12		0/0		0/0		0		26
14		0/0		0/0		0		26
16		0/0		0/0		0		25
18		0/0		0/0		0		27
20		0/0		0/0		0		27
22		0/0		0/0		0		25
24		0/0		0/0		0		25
26		0/0		0/0		0		25
28		0/0		0/0		0		25
30		0/0		0/0		0		25
32		0/0		0/0		0		25
34		0/0		0/0		0		25
36		0/0		0/0		0		26
38		0/0		0/0		0		25
40		0/0		0/0		0		26
42		0/0		0/0		0		26
44		0/0		0/0		0		25
46		0/0		0/0		0		25
48		0/0		0/0		0		26
50		0/0		0/0		0		27
52		0/0		0/0		0		23
54		0/0		0/0		0		25
56		0/0		0/0		0		25
58		0/0		0/0		0		25
60		0/0		0/0		0		26
62		0/0		0/0		0		25
64		0/0		0/0		0		25
66		0/0		0/0		0		26
68		0/0		0/0		0		25
70		0/0		0/0		0		27
72		0/0		0/0		0		25
74		0/0		0/0		0		25
76		0/0		0/0		0		25
78		3/0		3/0		0		23
80		21/2		21/2		0		25
82		0/2		0/0		0		26
84		0/2		0/0		0		22
86		0/2		0/0		0		25
88		0/2		0/0		0		26
90		0/2		0/0		0		26
92		0/2		0/0		0		26
94		0/2		0/0		0		26
96		0/2		0/0		0		26
98		0/2		0/0		0		23
100		0/2		0/0		0		25
102		0/2		0/0		0		25
104		0/2		0/0		0		27
106		0/2		0/0		0		25
108		0/2		0/0		0		25
110		0/2		0/0		0		26
112		0/2		0/0		0		25
114		0/2		0/0		0		26
116		0/2		0/0		0		25
118		0/2		0/0		0		25
120		0/2		0/0		0		25
122		0/2		0/0		0		26
124		0/2		0/0		0		26
126		0/2		0/0		0		26
128		0/2		0/0		0		25
130		0/2		0/0		0		25
132		0/2		0/0		0		26
134		0/2		0/0		0		25
136		0/2		0/0		0		26
138		0/2		0/0		0		25
140		0/2		0/0		0		25
142		0/2		0/0		0		26
144		0/2		0/0		0		26
146		0/2		0/0		0		26
148		0/2		0/0		0		25
150		0/2		0/0		0		25
152		0/2		0/0		0		25
154		0/2		0/0		0		26
156		0/2		0/0		0		25
158		0/2		0/0		0		26
160		0/2		0/0		0		26
162		0/2		0/0		0		25
164		0/2		0/0		0		25
166		0/2		0/0		0		25
168		0/2		0/0		0		26
170		0/2		0/0		0		25
172		0/2		0/0		0		25
174		0/2		0/0		0		25
176		0/2		0/0		0		26
178		0/2		0/0		0		26
180		0/2		0/0		0		26
182		0/2		0/0		0		25
184		0/2		0/0		0		26
186		0/2		0/0		0		25
188		0/2		0/0		0		25
190		0/2		0/0		0		25
192		0/2		0/0		0		25
194		0/2		0/0		0		25
196		0/2		0/0		0		26
198		0/2		0/0		0		23
200		0/2		0/0		0		25
202		0/2		0/0		0		25
204		0/2		0/0		0		25
206		0/2		0/0		0		26
208		0/2		0/0		0		25
210		0/2		0/0		0		25
212		0/2		0/0		0		25
214		0/2		0/0		0		25
216		0/2		0/0		0		22
218		0/2		0/0		0		23
220		0/2		0/0		0		25
222		0/2		0/0		0		25
224		0/2		0/0		0		26
226		0/2		0/0		0		25
228		0/2		0/0		0		25
230		0/2		0/0		0		25
232		0/2		0/0		0		25
234		0/2		0/0		0		26
236		0/2		0/0		0		26
238		0/2		0/0		0		26
240		0/2		0/0		0		25
242		0/2		0/0		0		23
244		0/2		0/0		0		25
246		0/2		0/0		0		26
248		0/2		0/0		0		26
250		0/2		0/0		0		25
252		0/2		0/0		0		23
254		0/2		0/0		0		25
256		0/2		0/0		0		25
258		0/2		0/0		0		25
260		0/2		0/0		0		25
262		0/2		0/0		0		25
264		0/2		0/0		0		25
266		0/2		0/0		0		25
268		0/2		0/0		0		25
270		0/2		0/0		0		25
272		0/2		0/0		0		25
274		0/2		0/0		0		26
276		0/2		0/0		0		26
278		0/2		0/0		0		25
280		0/2		0/0		0		25
282		0/2		0/0		0		25
284		0/2		0/0		0		25
286		0/2		0/0		0		26
288		0/2		0/0		0		23
290		0/2		0/0		0		25
292		0/2		0/0		0		25
294		0/2		0/0		0		25
296		0/2		0/0		0		26
298		0/2		0/0		0		25
300		0/2		0/0		0		25
302		0/2		0/0		0		25
304		0/2		0/0		0		26
306		0/2		0/0		0		25
308		0/2		0/0		0		25
310		0/2		0/0		0		26
312		0/2		0/0		0		25
314		0/2		0/0		0		26
316		0/2		0/0		0		25
318		0/2		0/0		0		25
320		0/2		0/0		0		25
322		0/2		0/0		0		23
324		0/2		0/0		0		25
326		0/2		0/0		0		26
328		0/2		0/0		0		26
330		0/2		0/0		0		25
332		0/2		0/0		0		26
334		0/2		0/0		0		25
336		0/2		0/0		0		25
338		0/2		0/0		0		23
340		0/2		0/0		0		25
342		0/2		0/0		0		25
344		0/2		0/0		0		25
346		0/2		0/0		0		25
348		0/2		0/0		0		25
350		0/2		0/0		0		25
352		0/2		0/0		0		25
354		0/2		0/0		0		25
356		0/2		0/0		0		25
358		0/2		0/0		0		26
360		0/2		0/0		0		25
362		0/2		0/0		0		25
364		0/2		0/0		0		25
366		0/2		0/0		0		26
368		0/2		0/0		0		25
370		0/2		0/0		0		27
372		0/2		0/0		0		25
374		0/2		0/0		0		25
376		0/2		0/0		0		25
378		0/2		0/0		0		25
380		0/2		0/0		0		25
382		0/2		0/0		0		25
384		0/2		0/0		0		25
386		0/2		0/0		0		25
388		0/2		0/0		0		25
390		0/2		0/0		0		26
392		0/2		0/0		0		25
394		0/2		0/0		0		25
396		0/2		0/0		0		25
398		0/2		0/0		0		25
400		0/2		0/0		0		26
402		0/2		0/0		0		25
404		0/2		0/0		0		25
406		0/2		0/0		0		25
408		0/2		0/0		0		23
410		0/2		0/0		0		26
412		0/2		0/0		0		25
414		0/2		0/0		0		25
416		0/2		0/0		0		25
418		0/2		0/0		0		25
420		0/2		0/0		0		25
422		0/2		0/0		0		23
424		0/2		0/0		0		25
426		0/2		0/0		0		25
428		0/2		0/0		0		25
430		0/2		0/0		0		25
432		0/2		0/0		0		25
434		0/2		0/0		0		25
436		0/2		0/0		0		25
438		0/2		0/0		0		26
440		0/2		0/0		0		26
442		0/2		0/0		0		25
444		0/2		0/0		0		25
446		0/2		0/0		0		25
448		0/2		0/0		0		26
450		0/2		0/0		0		25
452		0/2		0/0		0		25
454		0/2		0/0		0		25
456		0/2		0/0		0		23
458		0/2		0/0		0		25
460		0/2		0/0		0		25
462		0/2		0/0		0		25
464		0/2		0/0		0		25
466		0/2		0/0		0		25
468		0/2		0/0		0		25
470		0/2		0/0		0		25
472		0/2		0/0		0		23
474		0/2		0/0		0		25
476		0/2		0/0		0		25
478		0/2		0/0		0		26
480		0/2		0/0		0		25
482		0/2		0/0		0		26
484		0/2		0/0		0		26
486		0/2		0/0		0		26
488		0/2		0/0		0		25
490		0/2		0/0		0		25
492		0/2		0/0		0		25
494		0/2		0/0		0		26
496		0/2		0/0		0		23
498		0/2		0/0		0		23
500		0/2		0/0		0		26
502		0/2		0/0		0		25
504		0/2		0/0		0		25
506		0/2		0/0		0		25
508		0/2		0/0		0		26
510		0/2		0/0		0		25
512		0/2		0/0		0		25
514		0/2		0/0		0		23
516		0/2		0/0		0		25
518		0/2		0/0		0		22
520		0/2		0/0		0		25
522		0/2		0/0		0		25
524		0/2		0/0		0		25
526		0/2		0/0		0		25
528		0/2		0/0		0		25
530		0/2		0/0		0		25
532		0/2		0/0		0		25
534		0/2		0/0		0		25
536		0/2		0/0		0		25
538		0/2		0/0		0		25
540		0/2		0/0		0		25
542		0/2		0/0		0		25
544		0/2		0/0		0		25
546		0/2		0/0		0		25
548		0/2		0/0		0		26
550		0/2		0/0		0		25
552		0/2		0/0		0		25
554		0/2		0/0		0		25
556		0/2		0/0		0		25
558		0/2		0/0		0		25
560		0/2		0/0		0		25
562		0/2		0/0		0		25
564		0/2		0/0		0		25
566		0/2		0/0		0		25
568		0/2		0/0		0		25
570		0/2		0/0		0		25
572		0/2		0/0		0		23
574		0/2		0/0		0		0
576		0/2		0/0		0		0
578		0/2		0/0		0		0
