Got interface enp0s3
Got process 19056
processes: 19056
intfs: enp0s3
innet: 0
outnet: 0
Sec		Netw		enp0s3		CPU		19056
446		14/147		14/1		0		68
448		14/148		14/1		0		67
450		0/148		0/0		0		60
452		8/148		8/0		0		76
454		0/148		0/0		0		63
456		18/149		18/1		0		65
458		10/150		10/1		0		66
460		0/150		0/0		0		62
462		15/151		15/1		0		67
464		0/151		0/0		0		68
466		13/152		13/1		0		72
468		13/153		13/1		0		61
470		0/153		0/0		0		48
472		13/154		13/1		0		48
474		9/154		9/0		0		57
476		17/155		17/1		0		62
478		10/156		10/1		0		51
480		1/156		1/0		0		33
482		15/157		15/1		0		48
484		13/158		13/1		0		43
486		13/159		13/1		0		51
488		13/160		13/1		0		55
490		4/160		4/0		0		36
492		10/161		10/1		0		60
494		13/162		13/1		0		70
496		13/163		13/1		0		62
498		0/163		0/0		0		67
500		13/164		13/1		0		67
502		8/164		8/0		0		47
504		6/164		6/0		0		37
506		12/165		12/1		0		54
508		13/166		13/1		0		61
510		0/166		0/0		0		55
512		14/167		14/1		0		58
514		8/167		8/0		0		58
516		4/167		4/0		0		55
518		13/168		13/1		0		60
520		0/168		0/0		0		59
522		15/169		15/1		0		63
524		0/169		0/0		0		65
526		14/170		14/1		0		61
528		13/171		13/1		0		51
530		0/171		0/0		0		27
532		13/172		13/1		0		50
534		13/173		13/1		0		60
536		3/173		3/0		0		35
538		10/174		10/1		0		34
540		19/175		19/1		0		46
542		6/175		6/0		0		46
544		10/176		10/1		0		47
546		15/177		15/1		0		45
548		12/178		12/1		0		60
550		17/179		17/1		0		53
552		12/180		12/1		0		53
554		14/181		14/1		0		60
556		6/181		6/0		0		51
558		17/182		17/1		0		56
560		12/183		12/1		0		53
562		9/183		9/0		0		30
564		16/184		16/1		0		56
566		16/185		16/1		0		51
568		0/185		0/0		0		42
570		18/186		18/1		0		52
572		12/187		12/1		0		36
574		12/188		12/1		0		57
576		12/189		12/1		0		48
578		4/189		4/0		0		42
580		16/190		16/1		0		50
582		6/190		6/0		0		50
584		11/191		11/1		0		43
586		12/192		12/1		0		36
588		8/193		8/1		0		53
590		12/194		12/1		0		45
592		12/195		12/1		0		43
594		7/195		7/0		0		47
596		13/196		13/1		0		41
598		7/197		7/1		0		41
600		12/198		12/1		0		40
602		12/199		12/1		0		41
604		7/200		7/1		0		43
606		12/201		12/1		0		42
608		6/201		6/0		0		53
610		11/202		11/1		0		45
612		11/203		11/1		0		42
614		6/203		6/0		0		48
616		12/204		12/1		0		51
618		7/205		7/1		0		50
620		12/206		12/1		0		45
622		12/207		12/1		0		41
624		8/207		8/0		0		38
626		12/208		12/1		0		43
628		7/209		7/1		0		47
630		12/210		12/1		0		43
632		12/211		12/1		0		39
634		7/211		7/0		0		51
636		11/212		11/1		0		42
638		12/213		12/1		0		42
640		6/213		6/0		0		44
642		12/214		12/1		0		42
644		6/215		6/1		0		47
646		12/216		12/1		0		47
648		11/217		11/1		0		46
650		6/217		6/0		0		52
652		10/218		10/1		0		45
654		11/219		11/1		0		40
656		6/219		6/0		0		40
