Got interface enp0s3
Got process 9848
processes: 9848
intfs: enp0s3
innet: 0
outnet: 0
Sec		Netw		enp0s3		CPU		9848
0		0/0		0/0		0		66
2		0/0		0/0		0		65
4		0/0		0/0		0		70
6		0/0		0/0		0		66
8		0/0		0/0		0		72
10		0/0		0/0		0		72
12		0/0		0/0		0		56
14		0/0		0/0		0		82
16		0/0		0/0		0		63
18		0/0		0/0		0		78
20		0/0		0/0		0		71
22		0/0		0/0		0		59
24		0/0		0/0		0		66
26		0/0		0/0		0		78
28		0/0		0/0		0		52
30		0/0		0/0		0		80
32		0/0		0/0		0		58
34		0/0		0/0		0		42
36		0/0		0/0		0		55
38		0/0		0/0		0		72
40		0/0		0/0		0		58
42		0/0		0/0		0		52
44		0/0		0/0		0		64
46		0/0		0/0		0		70
48		0/0		0/0		0		60
50		0/0		0/0		0		86
52		0/0		0/0		0		57
54		0/0		0/0		0		73
56		24/2		24/2		0		66
58		0/2		0/0		0		69
60		0/2		0/0		0		76
62		0/2		0/0		0		75
64		0/2		0/0		0		56
66		0/2		0/0		0		67
68		0/2		0/0		0		60
70		0/2		0/0		0		56
72		0/2		0/0		0		70
74		0/2		0/0		0		76
76		0/2		0/0		0		79
78		0/2		0/0		0		63
80		0/2		0/0		0		59
82		0/2		0/0		0		66
84		0/2		0/0		0		60
86		0/2		0/0		0		69
88		0/2		0/0		0		76
90		0/2		0/0		0		56
92		0/2		0/0		0		56
94		0/2		0/0		0		62
96		0/2		0/0		0		53
98		0/2		0/0		0		84
100		0/2		0/0		0		85
102		0/2		0/0		0		67
104		0/2		0/0		0		73
106		0/2		0/0		0		90
108		0/2		0/0		0		82
110		0/2		0/0		0		79
112		0/2		0/0		0		76
114		0/2		0/0		0		77
116		0/2		0/0		0		75
118		0/2		0/0		0		78
120		0/2		0/0		0		54
122		0/2		0/0		0		94
124		0/2		0/0		0		46
126		0/2		0/0		0		92
128		0/2		0/0		0		93
130		0/2		0/0		0		92
132		0/2		0/0		0		35
134		0/2		0/0		0		0
136		0/2		0/0		0		0
