Got process 3807
Got interface enp0s3
processes: 3807
intfs: enp0s3
innet: 0
outnet: 0
Sec		Netw		enp0s3		CPU		3807
418		34/38311		34/444		0		10
420		12/38581		12/270		0		65
422		14/38582		14/1		0		65
424		20/38584		20/2		0		65
426		9/38584		9/0		0		51
428		16/38995		16/411		0		62
430		19/39258		19/263		0		60
432		11/39380		11/122		0		27
434		10/39381		10/1		0		48
436		15/39382		15/1		0		62
438		19/39526		19/144		0		57
440		24/39984		24/458		0		53
442		8/40141		8/157		0		57
444		18/40142		18/1		0		66
446		8/40142		8/0		0		58
448		18/40143		18/1		0		60
450		22/40538		22/395		0		63
452		16/40797		16/259		0		57
454		19/41038		19/241		0		63
456		25/41398		25/360		0		52
458		18/41628		18/230		0		68
460		27/42097		27/469		0		11
462		5/42223		5/126		0		62
464		6/42223		6/0		0		60
466		21/42224		21/1		0		60
468		8/42288		8/64		0		57
470		19/42734		19/446		0		59
472		10/42735		10/1		0		52
474		17/42736		17/1		0		7
476		14/42737		14/1		0		67
478		12/42793		12/56		0		66
480		19/43267		19/474		0		56
482		24/43450		24/183		0		60
484		10/43450		10/0		0		62
486		14/43451		14/1		0		54
488		0/43451		0/0		0		7
490		22/43710		22/259		0		45
492		22/44145		22/435		0		48
494		9/44180		9/35		0		7
496		13/44181		13/1		0		60
498		8/44181		8/0		0		62
500		17/44279		17/98		0		10
502		24/44766		24/487		0		63
504		9/45003		9/237		0		61
506		26/45209		26/206		0		8
508		18/45664		18/455		0		60
510		17/45878		17/214		0		60
512		16/46125		16/247		0		47
514		12/46389		12/264		0		47
516		29/46900		29/511		0		12
518		12/46907		12/7		0		66
520		9/46907		9/0		0		62
522		14/46908		14/1		0		62
524		14/46948		14/40		0		11
526		21/47480		21/532		0		12
528		25/47924		25/444		0		67
530		13/48019		13/95		0		42
532		24/48499		24/480		0		66
534		9/48723		9/224		0		47
536		38/49142		38/419		0		62
538		27/49602		27/460		0		46
540		9/49838		9/236		0		50
542		31/50220		31/382		0		13
544		12/50523		12/303		0		60
546		18/50608		18/85		0		76
548		11/50609		11/1		0		57
550		9/50610		9/1		0		75
552		25/50930		25/320		0		8
554		23/51356		23/426		0		60
556		10/51357		10/1		0		58
558		18/51358		18/1		0		11
560		5/51358		5/0		0		64
562		17/51456		17/98		0		52
564		22/51893		22/437		0		56
566		12/52200		12/307		0		63
568		24/52510		24/310		0		51
570		27/52924		27/414		0		54
572		6/52924		6/0		0		61
574		17/52925		17/1		0		63
576		0/52925		0/0		0		58
578		24/53036		24/111		0		50
580		20/53552		20/516		0		15
582		14/53788		14/236		0		67
584		13/53789		13/1		0		62
586		10/53789		10/0		0		50
588		10/53790		10/1		0		65
590		21/54115		21/325		0		11
592		10/54377		10/262		0		55
594		17/54570		17/193		0		60
596		9/54570		9/0		0		65
598		10/54570		10/0		0		62
600		19/54698		19/128		0		18
602		13/55024		13/326		0		57
604		23/55366		23/342		0		58
606		19/55367		19/1		0		60
608		6/55367		6/0		0		47
610		12/55368		12/1		0		8
612		25/55800		25/432		0		60
614		9/56039		9/239		0		62
616		21/56191		21/152		0		48
618		3/56191		3/0		0		60
620		16/56192		16/1		0		61
622		10/56371		10/179		0		41
624		19/56611		19/240		0		53
626		17/56899		17/288		0		58
628		12/56900		12/1		0		65
630		18/56901		18/1		0		7
632		15/57037		15/136		0		53
634		10/57296		10/259		0		61
636		25/57637		25/341		0		62
638		15/57638		15/1		0		52
640		9/57639		9/1		0		11
642		14/57640		14/1		0		56
644		19/57875		19/235		0		57
646		20/58380		20/505		0		48
648		26/58807		26/427		0		65
650		19/59029		19/222		0		51
652		18/59260		18/231		0		70
654		4/59260		4/0		0		62
656		15/59261		15/1		0		63
658		13/59262		13/1		0		55
660		12/59509		12/247		0		66
662		23/59782		23/273		0		65
664		5/59782		5/0		0		7
666		16/59783		16/1		0		63
668		12/59784		12/1		0		50
670		14/60005		14/221		0		65
672		14/60044		14/39		0		65
674		10/60045		10/1		0		67
676		5/60045		5/0		0		7
678		20/60328		20/283		0		63
680		7/60328		7/0		0		60
682		11/60329		11/1		0		58
684		11/60330		11/1		0		47
686		18/60576		18/246		0		58
688		18/60672		18/96		0		58
690		7/60672		7/0		0		61
692		12/60673		12/1		0		57
694		17/60821		17/148		0		60
696		17/61067		17/246		0		60
698		13/61068		13/1		0		58
700		13/61069		13/1		0		62
702		8/61069		8/0		0		62
704		26/61410		26/341		0		55
706		17/61675		17/265		0		46
