Got interface enp0s3
Got process 2120
processes: 2120
intfs: enp0s3
innet: 0
outnet: 0
Sec		Netw		enp0s3		CPU		2120
0		0/0		0/0		0		71
2		0/0		0/0		0		97
4		0/0		0/0		0		87
6		0/0		0/0		0		69
8		0/0		0/0		0		91
10		0/0		0/0		0		77
12		0/0		0/0		0		76
14		0/0		0/0		0		68
16		0/0		0/0		0		71
18		0/0		0/0		0		100
20		0/0		0/0		0		65
22		0/0		0/0		0		93
24		0/0		0/0		0		81
26		0/0		0/0		0		88
28		0/0		0/0		0		75
30		0/0		0/0		0		72
32		0/0		0/0		0		54
34		0/0		0/0		0		89
36		0/0		0/0		0		79
38		0/0		0/0		0		78
40		0/0		0/0		0		92
42		0/0		0/0		0		70
44		0/0		0/0		0		51
46		0/0		0/0		0		88
48		0/0		0/0		0		90
50		0/0		0/0		0		62
52		0/0		0/0		0		77
54		0/0		0/0		0		88
56		0/0		0/0		0		93
58		0/0		0/0		0		56
60		0/0		0/0		0		89
62		0/0		0/0		0		70
64		0/0		0/0		0		92
66		0/0		0/0		0		90
68		0/0		0/0		0		91
70		0/0		0/0		0		47
72		0/0		0/0		0		93
74		0/0		0/0		0		90
76		0/0		0/0		0		87
78		0/0		0/0		0		93
80		0/0		0/0		0		40
82		0/0		0/0		0		47
84		0/0		0/0		0		87
86		0/0		0/0		0		77
88		0/0		0/0		0		74
90		0/0		0/0		0		83
92		0/0		0/0		0		83
94		0/0		0/0		0		88
96		0/0		0/0		0		81
98		0/0		0/0		0		77
100		0/0		0/0		0		71
102		0/0		0/0		0		81
104		0/0		0/0		0		66
106		0/0		0/0		0		70
108		0/0		0/0		0		51
110		8/0		8/0		0		61
112		0/0		0/0		0		84
114		0/0		0/0		0		76
116		0/0		0/0		0		71
118		0/0		0/0		0		77
120		0/0		0/0		0		48
122		0/0		0/0		0		39
124		0/0		0/0		0		69
126		0/0		0/0		0		58
128		9/0		9/0		0		86
130		0/0		0/0		0		75
132		0/0		0/0		0		77
134		0/0		0/0		0		55
136		0/0		0/0		0		87
138		0/0		0/0		0		83
140		0/0		0/0		0		91
142		0/0		0/0		0		86
144		0/0		0/0		0		80
146		0/0		0/0		0		73
148		0/0		0/0		0		65
150		0/0		0/0		0		69
152		6/0		6/0		0		77
154		0/0		0/0		0		65
156		0/0		0/0		0		70
158		0/0		0/0		0		100
160		0/0		0/0		0		77
162		0/0		0/0		0		83
164		0/0		0/0		0		59
166		0/0		0/0		0		74
168		0/0		0/0		0		73
170		0/0		0/0		0		85
172		0/0		0/0		0		53
174		0/0		0/0		0		89
176		0/0		0/0		0		73
178		0/0		0/0		0		79
180		0/0		0/0		0		78
182		0/0		0/0		0		46
184		0/0		0/0		0		88
186		0/0		0/0		0		77
188		0/0		0/0		0		75
190		0/0		0/0		0		88
192		0/0		0/0		0		70
194		0/0		0/0		0		93
196		0/0		0/0		0		77
198		0/0		0/0		0		73
200		0/0		0/0		0		77
202		0/0		0/0		0		56
204		0/0		0/0		0		75
206		0/0		0/0		0		88
208		0/0		0/0		0		74
210		0/0		0/0		0		91
212		0/0		0/0		0		76
214		0/0		0/0		0		76
216		0/0		0/0		0		72
218		0/0		0/0		0		80
220		0/0		0/0		0		80
222		0/0		0/0		0		76
224		0/0		0/0		0		87
226		0/0		0/0		0		65
228		0/0		0/0		0		58
230		0/0		0/0		0		75
232		0/0		0/0		0		85
234		0/0		0/0		0		77
236		0/0		0/0		0		78
238		0/0		0/0		0		63
240		0/0		0/0		0		78
242		0/0		0/0		0		77
244		0/0		0/0		0		75
246		0/0		0/0		0		87
248		0/0		0/0		0		73
250		0/0		0/0		0		69
252		0/0		0/0		0		67
254		0/0		0/0		0		76
256		0/0		0/0		0		64
258		0/0		0/0		0		80
260		0/0		0/0		0		85
262		0/0		0/0		0		74
264		0/0		0/0		0		60
266		0/0		0/0		0		71
268		0/0		0/0		0		68
270		0/0		0/0		0		91
272		0/0		0/0		0		0
274		0/0		0/0		0		0
