Got interface enp0s3
Got process 2253
processes: 2253
intfs: enp0s3
innet: 0
outnet: 0
Sec		Netw		enp0s3		CPU		2253
446		8/158		8/0		0		38
448		19/159		19/1		0		61
450		15/160		15/1		0		66
452		3/160		3/0		0		51
454		20/162		20/2		0		70
456		9/162		9/0		0		45
458		7/162		7/0		0		42
460		19/163		19/1		0		75
462		11/164		11/1		0		67
464		8/164		8/0		0		32
466		19/165		19/1		0		67
468		8/165		8/0		0		66
470		9/165		9/0		0		40
472		8/165		8/0		0		39
474		19/166		19/1		0		71
476		10/167		10/1		0		45
478		9/167		9/0		0		51
480		16/168		16/1		0		56
482		9/169		9/1		0		69
484		17/170		17/1		0		75
486		8/170		8/0		0		62
488		10/170		10/0		0		62
490		9/170		9/0		0		38
492		17/171		17/1		0		65
494		6/171		6/0		0		63
496		11/172		11/1		0		40
498		9/172		9/0		0		37
500		17/173		17/1		0		52
502		10/174		10/1		0		51
504		8/174		8/0		0		34
506		18/175		18/1		0		73
508		7/175		7/0		0		65
510		16/176		16/1		0		70
512		12/177		12/1		0		63
514		8/177		8/0		0		72
516		9/177		9/0		0		58
518		8/177		8/0		0		66
520		9/177		9/0		0		53
522		18/178		18/1		0		76
524		5/178		5/0		0		68
526		14/179		14/1		0		66
528		7/179		7/0		0		62
530		8/179		8/0		0		60
532		12/180		12/1		0		38
534		11/181		11/1		0		37
536		14/182		14/1		0		52
538		11/183		11/1		0		67
540		14/184		14/1		0		55
542		13/185		13/1		0		57
544		9/185		9/0		0		43
546		11/186		11/1		0		56
548		17/187		17/1		0		58
550		6/187		6/0		0		60
552		11/188		11/1		0		56
554		8/188		8/0		0		53
556		6/188		6/0		0		65
558		12/189		12/1		0		46
560		8/189		8/0		0		66
562		13/190		13/1		0		48
564		13/191		13/1		0		53
566		5/191		5/0		0		66
568		13/192		13/1		0		55
570		5/192		5/0		0		51
572		20/194		20/2		0		52
574		16/195		16/1		0		60
576		12/196		12/1		0		57
578		17/197		17/1		0		57
580		6/197		6/0		0		70
582		12/198		12/1		0		63
584		9/198		9/0		0		53
586		8/198		8/0		0		28
588		17/199		17/1		0		32
590		16/200		16/1		0		29
592		15/201		15/1		0		50
594		11/202		11/1		0		34
596		7/202		7/0		0		31
598		21/204		21/2		0		28
600		23/206		23/2		0		55
602		10/207		10/1		0		52
604		19/208		19/1		0		60
606		7/208		7/0		0		56
608		18/209		18/1		0		56
610		9/209		9/0		0		67
612		8/209		8/0		0		58
614		8/209		8/0		0		63
616		6/209		6/0		0		52
618		18/210		18/1		0		45
620		12/211		12/1		0		66
622		8/211		8/0		0		70
624		10/212		10/1		0		63
626		6/212		6/0		0		42
628		11/213		11/1		0		58
630		12/214		12/1		0		53
632		4/214		4/0		0		67
634		11/215		11/1		0		47
636		12/216		12/1		0		63
638		7/216		7/0		0		58
640		14/217		14/1		0		53
642		5/217		5/0		0		55
644		13/218		13/1		0		50
646		9/219		9/1		0		36
648		8/219		8/0		0		38
650		15/220		15/1		0		56
652		11/221		11/1		0		62
654		8/221		8/0		0		33
656		16/222		16/1		0		56
658		12/223		12/1		0		71
660		10/223		10/0		0		42
662		8/223		8/0		0		42
664		15/224		15/1		0		71
666		12/225		12/1		0		50
668		8/225		8/0		0		67
670		10/225		10/0		0		51
672		16/226		16/1		0		70
674		11/227		11/1		0		48
676		16/228		16/1		0		76
678		0/228		0/0		0		41
680		17/229		17/1		0		46
682		18/230		18/1		0		53
684		2/230		2/0		0		45
686		16/231		16/1		0		62
688		7/231		7/0		0		58
690		12/232		12/1		0		50
692		14/233		14/1		0		70
694		8/233		8/0		0		61
696		12/234		12/1		0		63
698		9/235		9/1		0		65
700		9/235		9/0		0		63
702		11/236		11/1		0		42
704		7/236		7/0		0		60
706		15/237		15/1		0		60
708		3/237		3/0		0		35
710		18/238		18/1		0		51
712		8/238		8/0		0		37
714		8/238		8/0		0		53
716		16/239		16/1		0		57
718		12/240		12/1		0		58
720		9/240		9/0		0		63
722		8/240		8/0		0		63
724		10/241		10/1		0		60
726		6/241		6/0		0		58
728		20/243		20/2		0		57
730		3/243		3/0		0		48
732		15/244		15/1		0		47
734		8/244		8/0		0		60
736		16/245		16/1		0		70
738		15/246		15/1		0		50
740		10/247		10/1		0		53
742		19/248		19/1		0		47
744		12/249		12/1		0		41
746		7/249		7/0		0		46
748		15/250		15/1		0		46
750		8/251		8/1		0		33
752		15/252		15/1		0		48
754		15/253		15/1		0		55
756		8/253		8/0		0		47
758		15/254		15/1		0		42
760		11/255		11/1		0		37
762		12/256		12/1		0		35
764		23/258		23/2		0		60
766		8/259		8/1		0		59
768		13/260		13/1		0		65
770		4/260		4/0		0		35
772		18/261		18/1		0		53
774		19/262		19/1		0		73
776		9/262		9/0		0		50
778		6/262		6/0		0		50
780		21/264		21/2		0		65
782		8/264		8/0		0		60
784		9/264		9/0		0		66
786		11/265		11/1		0		69
788		17/266		17/1		0		66
790		8/266		8/0		0		55
792		7/266		7/0		0		65
794		15/267		15/1		0		71
796		12/268		12/1		0		67
798		9/269		9/1		0		39
800		16/270		16/1		0		65
802		10/270		10/0		0		65
804		6/270		6/0		0		52
806		12/271		12/1		0		56
808		6/271		6/0		0		40
810		20/272		20/1		0		60
812		10/273		10/1		0		57
814		17/274		17/1		0		67
816		11/275		11/1		0		66
818		7/275		7/0		0		50
820		10/276		10/1		0		41
822		9/276		9/0		0		38
824		15/277		15/1		0		52
826		14/278		14/1		0		52
828		6/278		6/0		0		38
830		14/279		14/1		0		50
832		10/280		10/1		0		67
834		9/280		9/0		0		50
836		6/280		6/0		0		67
838		17/281		17/1		0		60
840		12/282		12/1		0		65
842		6/282		6/0		0		63
844		7/282		7/0		0		71
846		13/283		13/1		0		46
848		15/284		15/1		0		64
