Got interface enp0s3
Got process 17077
processes: 17077
intfs: enp0s3
innet: 0
outnet: 0
Sec		Netw		enp0s3		CPU		17077
446		0/45		0/0		0		98
448		9/45		9/0		0		98
450		0/45		0/0		0		97
452		9/45		9/0		0		97
454		8/45		8/0		0		100
456		0/45		0/0		0		100
458		7/45		7/0		0		76
460		0/45		0/0		0		98
462		0/45		0/0		0		88
464		8/45		8/0		0		96
466		6/45		6/0		0		77
468		0/45		0/0		0		92
470		12/46		12/1		0		100
472		5/46		5/0		0		98
474		0/46		0/0		0		100
476		11/47		11/1		0		52
478		0/47		0/0		0		98
480		5/47		5/0		0		88
482		13/48		13/1		0		96
484		0/48		0/0		0		98
486		5/48		5/0		0		100
488		6/48		6/0		0		97
490		5/48		5/0		0		92
492		0/48		0/0		0		95
494		9/49		9/1		0		100
496		0/49		0/0		0		86
498		8/49		8/0		0		100
500		0/49		0/0		0		98
502		5/49		5/0		0		76
504		0/49		0/0		0		100
506		11/50		11/1		0		100
508		0/50		0/0		0		71
510		7/50		7/0		0		97
512		2/50		2/0		0		80
514		5/50		5/0		0		100
516		0/50		0/0		0		100
518		0/50		0/0		0		83
520		8/51		8/1		0		97
522		0/51		0/0		0		100
524		0/51		0/0		0		81
526		11/52		11/1		0		25
528		9/52		9/0		0		100
530		0/52		0/0		0		88
532		7/52		7/0		0		100
534		0/52		0/0		0		83
536		9/53		9/1		0		97
538		0/53		0/0		0		100
540		0/53		0/0		0		98
542		9/54		9/1		0		100
544		0/54		0/0		0		94
546		9/55		9/1		0		100
548		2/55		2/0		0		96
550		6/55		6/0		0		100
552		0/55		0/0		0		100
554		5/55		5/0		0		98
556		0/55		0/0		0		100
558		4/55		4/0		0		97
560		0/55		0/0		0		95
562		0/55		0/0		0		46
564		0/55		0/0		0		100
566		0/55		0/0		0		87
568		0/55		0/0		0		87
570		0/55		0/0		0		98
572		0/55		0/0		0		77
574		0/55		0/0		0		100
576		0/55		0/0		0		100
578		0/55		0/0		0		100
580		0/55		0/0		0		68
582		0/55		0/0		0		98
