Got process 7616
Got interface enp0s3
processes: 7616
intfs: enp0s3
innet: 0
outnet: 0
Sec		Netw		enp0s3		CPU		7616
418		23/30159		23/375		0		22
420		21/30373		21/214		0		7
422		7/30374		7/1		0		63
424		17/30502		17/128		0		44
426		42/31233		42/731		0		52
428		13/31383		13/150		0		48
430		13/31384		13/1		0		7
432		18/31538		18/154		0		43
434		47/32323		47/785		0		30
436		18/32452		18/129		0		43
438		8/32452		8/0		0		5
440		20/32662		20/210		0		21
442		41/33395		41/733		0		37
444		11/33521		11/126		0		48
446		11/33522		11/1		0		65
448		17/33670		17/148		0		36
450		42/34479		42/809		0		28
452		42/35250		42/771		0		27
454		6/35250		6/0		0		41
456		10/35251		10/1		0		1
458		21/35539		21/288		0		8
460		23/35980		23/441		0		10
462		10/35981		10/1		0		38
464		10/35982		10/1		0		35
466		19/36327		19/345		0		46
468		27/36762		27/435		0		47
470		5/36762		5/0		0		46
472		10/36763		10/1		0		31
474		9/36764		9/1		0		62
476		5/36764		5/0		0		45
478		24/37157		24/393		0		30
480		43/37994		43/837		0		1
482		18/38319		18/325		0		55
484		9/38320		9/1		0		10
486		5/38320		5/0		0		27
488		27/38783		27/463		0		17
490		23/39133		23/350		0		0
492		5/39133		5/0		0		51
494		10/39134		10/1		0		2
496		34/39732		34/598		0		38
498		6/39732		6/0		0		31
500		9/39733		9/1		0		16
502		5/39733		5/0		0		30
504		10/39734		10/1		0		18
506		18/39938		18/204		0		32
508		25/40443		25/505		0		22
510		14/40550		14/107		0		12
512		9/40551		9/1		0		45
514		14/40767		14/216		0		47
516		22/41099		22/332		0		43
518		5/41099		5/0		0		2
520		10/41100		10/1		0		31
522		31/41619		31/519		0		22
524		6/41619		6/0		0		56
526		9/41620		9/1		0		50
528		31/42154		31/534		0		40
530		6/42154		6/0		0		38
532		9/42155		9/1		0		43
534		6/42155		6/0		0		8
536		11/42156		11/1		0		20
538		15/42204		15/48		0		7
540		24/42659		24/455		0		23
542		37/43343		37/684		0		16
544		10/43344		10/1		0		33
546		6/43344		6/0		0		38
548		24/43718		24/374		0		20
550		25/44136		25/418		0		50
552		5/44136		5/0		0		29
554		9/44137		9/1		0		21
556		21/44524		21/387		0		35
558		14/44636		14/112		0		8
560		9/44637		9/1		0		29
562		6/44637		6/0		0		2
564		9/44638		9/1		0		60
566		14/44766		14/128		0		27
568		23/45224		23/458		0		28
570		34/45835		34/611		0		47
572		5/45835		5/0		0		26
574		9/45836		9/1		0		30
576		28/46316		28/480		0		51
578		6/46329		6/13		0		21
580		10/46330		10/1		0		46
582		25/46680		25/350		0		1
584		11/46814		11/134		0		10
586		10/46815		10/1		0		46
588		5/46815		5/0		0		7
590		27/47250		27/435		0		56
592		9/47251		9/1		0		28
594		5/47251		5/0		0		7
596		32/47815		32/564		0		36
598		39/48484		39/669		0		7
600		6/48484		6/0		0		13
602		11/48485		11/1		0		42
604		9/48563		9/78		0		26
606		41/49317		41/754		0		43
608		12/49318		12/1		0		7
